ScoreJS,TypeJS,ScoreSE,TypeSE,ScoreSOP,TypeSOP,pAverage,mutationNumber,conservation,species,fcm/faa
0.704556114,JS divergence average,0.554576009,Shannon entropy average,2.321223483,Sum of Pairs Average,0.0036613853,8,0.625,6,0.0188
0.704597116,JS divergence average,0.515232093,Shannon entropy average,2.190541226,Sum of Pairs Average,2.12661571E-006,83,0.506,4,0.3621
0.782749174,JS divergence average,0.682346304,Shannon entropy average,3.604186652,Sum of Pairs Average,0.075293937,2,0,4,0
0.727090157,JS divergence average,0.635670039,Shannon entropy average,2.944620236,Sum of Pairs Average,0.0879819927,6,0.5,3,0.0357
0.786133548,JS divergence average,0.722733777,Shannon entropy average,3.490952726,Sum of Pairs Average,0.162944089,3,0.6667,5,0.0206
0.777682794,JS divergence average,0.682742507,Shannon entropy average,3.476638094,Sum of Pairs Average,0.0002693287,57,0.7544,3,0.0558
0.637621996,JS divergence average,0.428343109,Shannon entropy average,1.557379327,Sum of Pairs Average,0.2314468287,5,0.8,3,0.0263
0.789425206,JS divergence average,0.700771692,Shannon entropy average,3.659701323,Sum of Pairs Average,0.1299479047,2,0.5,4,0.0051
0.724008238,JS divergence average,0.543715619,Shannon entropy average,2.833337286,Sum of Pairs Average,0.0004707729,22,0.4545,5,0.0613
0.78003088,JS divergence average,0.694216888,Shannon entropy average,3.92328118,Sum of Pairs Average,0.0003375395,42,0.8095238095,3,0.1245421245
0.620056781,JS divergence average,0.478105274,Shannon entropy average,1.507652534,Sum of Pairs Average,0.0011542747,14,0.5,4,0.0385
0.771553445,JS divergence average,0.647277952,Shannon entropy average,3.393403162,Sum of Pairs Average,0.012033003,7,0.4286,4,0.019
0.71308127,JS divergence average,0.520631489,Shannon entropy average,2.237900467,Sum of Pairs Average,0.174905301,13,0.2308,6,0.0288
0.746936188,JS divergence average,0.635652356,Shannon entropy average,4.016340441,Sum of Pairs Average,0.030375414,19,0.6316,4,0.0615
0.836412528,JS divergence average,0.91938128,Shannon entropy average,5.011980032,Sum of Pairs Average,0.0025465698,27,0.2963,4,0.0588
0.720381754,JS divergence average,0.55908194,Shannon entropy average,2.579437948,Sum of Pairs Average,0.3517362,7,0,6,0
0.635945806,JS divergence average,0.445429534,Shannon entropy average,1.605754994,Sum of Pairs Average,0.4075866297,4,0.2,5,0.0014
0.727443862,JS divergence average,0.670730719,Shannon entropy average,3.051330533,Sum of Pairs Average,0.023081695,10,0.7,4,0.0174
0.708211702,JS divergence average,0.533642704,Shannon entropy average,2.769608974,Sum of Pairs Average,0.2545631033,6,0.1667,4,0.0052
0.715743045,JS divergence average,0.56349847,Shannon entropy average,2.650881824,Sum of Pairs Average,0.021699498,5,0.6,5,0.0588
0.759543212,JS divergence average,0.59818829,Shannon entropy average,3.211613938,Sum of Pairs Average,0.3697657677,4,0,5,0
0.671745132,JS divergence average,0.450659456,Shannon entropy average,1.362354706,Sum of Pairs Average,0.0982113003,57,0.2631578947,4,0.0843
0.784893766,JS divergence average,0.729686338,Shannon entropy average,3.801045629,Sum of Pairs Average,0.0128404523,14,0.8571,3,0.0055
0.774166033,JS divergence average,0.648833639,Shannon entropy average,3.351070361,Sum of Pairs Average,0.0002028304,16,0.375,5,0.0248
0.729596685,JS divergence average,0.61217288,Shannon entropy average,3.046977101,Sum of Pairs Average,0.3477224693,4,0.25,5,0.0065
0.700561843,JS divergence average,0.542557312,Shannon entropy average,2.472859355,Sum of Pairs Average,0.0034845724,3,1,4,0.0652173913
0.7829724575,JS divergence average,0.667869811,Shannon entropy average,3.4628814934,Sum of Pairs Average,0.0006379537,5,1,5,0.046728972
0.711239065,JS divergence average,0.546643795,Shannon entropy average,2.574613633,Sum of Pairs Average,0.1418378208,14,0.93,3,0.0401234568
0.705015575,JS divergence average,0.508804504,Shannon entropy average,2.222848142,Sum of Pairs Average,0.0120338661,2,1,3,0.0119047619
0.604563098,JS divergence average,0.492129783,Shannon entropy average,1.947182174,Sum of Pairs Average,0.1395326472,4,0,5,0
0.706844828,JS divergence average,0.444068345,Shannon entropy average,1.809145057,Sum of Pairs Average,0.0173016063,6,0.333,6,0.025
0.730222673,JS divergence average,0.588644545,Shannon entropy average,2.867615327,Sum of Pairs Average,0.0020138216,15,0.5333333333,6,0.275862069
0.702908882,JS divergence average,0.488514839,Shannon entropy average,2.073185681,Sum of Pairs Average,1.32735502359687E-006,77,0.6103896104,5,0.2460732984
0.6045195342,JS divergence average,0.3838563043,Shannon entropy average,0.2413904658,Sum of Pairs Average,0.1168938187,5,0.4,5,0.0105820106
0.726266119,JS divergence average,0.665418073,Shannon entropy average,3.205065633,Sum of Pairs Average,0.0017473596,4,1,5,0.0096618357
0.731896744,JS divergence average,0.642705843,Shannon entropy average,3.203090727,Sum of Pairs Average,0.2117034816,6,0.1666666667,5,0.007518797
0.725715026,JS divergence average,0.588345053,Shannon entropy average,2.866126534,Sum of Pairs Average,0.0007704733,19,0.5263157895,5,0.0699300699
0.648513496,JS divergence average,0.402967561,Shannon entropy average,1.203668293,Sum of Pairs Average,0.0794096287,6,0.5,3,0.038961039
0.785608153,JS divergence average,0.732329789,Shannon entropy average,3.789378575,Sum of Pairs Average,0.0116192119,11,0.45,5,0.0187969925
0.690646341,JS divergence average,0.502284035,Shannon entropy average,1.535493835,Sum of Pairs Average,0.2434548649,6,0.5,5,0.0277777778
0.697642941,JS divergence average,0.541297647,Shannon entropy average,2.433256431,Sum of Pairs Average,0.3616299824,5,0.4,5,0.018018018
0.710946958,JS divergence average,0.563895873,Shannon entropy average,2.415873223,Sum of Pairs Average,0.0004292768,12,0.8333333333,5,0.0793650794
0.702792884,JS divergence average,0.470549197,Shannon entropy average,1.773269892,Sum of Pairs Average,0.1867167595,13,0.8461538462,3,0.0284974093
0.784939348,JS divergence average,0.70997175,Shannon entropy average,0.784939348,Sum of Pairs Average,0.3317571264,14,0.5,3,0.0328638498
0.787398719,JS divergence average,0.784461144,Shannon entropy average,4.16992624,Sum of Pairs Average,0.0322697557,51,0.1960784314,5,0.0699300699
0.688986578,JS divergence average,0.526205143,Shannon entropy average,2.27652913,Sum of Pairs Average,0.1512982577,11,0.2727,4,0.0789
0.683232287,JS divergence average,0.469784983,Shannon entropy average,1.883738259,Sum of Pairs Average,0.3021457683,11,0.0909,4,0.0064
0.7263041096,JS divergence average,0.5737613014,Shannon entropy average,2.3957095205,Sum of Pairs Average,0.2835253094,15,0.6,3,0.0104895105
0.697313557,JS divergence average,0.5342253915,Shannon entropy average,2.2058473826,Sum of Pairs Average,0.109171399,17,0.1176,4,0.0108
0.7906554919,JS divergence average,0.720371288,Shannon entropy average,3.7235981216,Sum of Pairs Average,0.145342559,8,0.375,3,0.0144
0.7027924833,JS divergence average,0.4420110167,Shannon entropy average,2.0054857667,Sum of Pairs Average,0.2392336637,3,0,5,0
0.7036436437,JS divergence average,0.5791755061,Shannon entropy average,2.4653627935,Sum of Pairs Average,0.0007085572,8,0.75,5,0.0483870968
0.6529668558,JS divergence average,0.4914837825,Shannon entropy average,1.9471364775,Sum of Pairs Average,0.000000894,30,0.5,3,0.0547445255
0.69481,JS divergence average,0.4955767614,Shannon entropy average,1.7275076705,Sum of Pairs Average,0.3293957613,3,0.3333,5,0.0035
0.7190770149,JS divergence average,0.6033499337,Shannon entropy average,2.8466532504,Sum of Pairs Average,0.4640771867,20,0.1,6,0.0141
0.7869752923,JS divergence average,0.7430759846,Shannon entropy average,3.8782312154,Sum of Pairs Average,0.1115459943,12,0.5833,3,0.0129
0.7029661742,JS divergence average,0.5950289425,Shannon entropy average,2.798568958,Sum of Pairs Average,0.1987759567,8,0,6,0
0.6075807205,JS divergence average,0.460193987,Shannon entropy average,1.7517901633,Sum of Pairs Average,0.039442607,2,0.5,6,0.0294
0.6889600649,JS divergence average,0.5263039232,Shannon entropy average,2.1510661959,Sum of Pairs Average,0.063192897,5,0.6,4,0.0882
0.7246953528,JS divergence average,0.5932150852,Shannon entropy average,2.7422189538,Sum of Pairs Average,0.030787723,6,0.5,3,0.0353
0.6827100538,JS divergence average,0.4848194482,Shannon entropy average,2.038416716,Sum of Pairs Average,0.3568945517,8,0.25,3,0.0044052863
0.7712553254,JS divergence average,0.6322652071,Shannon entropy average,3.1786405917,Sum of Pairs Average,0.0059303413,11,0.3636,6,0.0635
0.737159973,JS divergence average,0.696937436,Shannon entropy average,3.325015101,Sum of Pairs Average,0.0005955047,7,0.7143,4,0.0355
0.7734529374,JS divergence average,0.7735941253,Shannon entropy average,3.8975005184,Sum of Pairs Average,0.1646311033,9,0.33,6,0.0267
0.7431218561,JS divergence average,0.6949330303,Shannon entropy average,2.9609163636,Sum of Pairs Average,0.2606229453,6,0.1667,5,0.0048
0.7332319249,JS divergence average,0.7045705634,Shannon entropy average,3.6359873709,Sum of Pairs Average,0.001678764,29,0.6207,6,0.2093
0.7608038571,JS divergence average,0.7583015714,Shannon entropy average,3.8082238571,Sum of Pairs Average,5.78571448278519E-007,89,0.2247191011,6,0.1156069364
0.8160339009,JS divergence average,0.8875228233,Shannon entropy average,4.7272794828,Sum of Pairs Average,0.0712363403,24,0.0416666667,3,0.0388
0.7518725703,JS divergence average,0.7171776305,Shannon entropy average,3.5617396386,Sum of Pairs Average,0.0130033025,24,0.3333333333,5,0.0610687023
0.7609850843,JS divergence average,0.6586227952,Shannon entropy average,3.440260506,Sum of Pairs Average,0.0017918723,16,0.4375,5,0.0365
0.64882704,JS divergence average,0.465581103,Shannon entropy average,1.6088013302,Sum of Pairs Average,0.000108363,35,0.5714,5,0.1905
0.711565232,JS divergence average,0.523883709,Shannon entropy average,2.449151589,Sum of Pairs Average,0.3602184935,0,0.25,4,0.011627907
0.680050207,JS divergence average,0.427610945,Shannon entropy average,1.687820148,Sum of Pairs Average,1.06714003333333E-011,41,0.7317,5,0.1786
0.644494188,JS divergence average,0.438973897,Shannon entropy average,2.09382385,Sum of Pairs Average,0.000160264,10,0.7,4,0.0335
0.7929275414,JS divergence average,0.7671058947,Shannon entropy average,3.9185939774,Sum of Pairs Average,0.2508422623,4,0.25,5,0.0102
0.679667104,JS divergence average,0.424814783,Shannon entropy average,1.656644088,Sum of Pairs Average,0.357141254,4,0.75,6,0.0291262136
0.7602449,JS divergence average,0.564225435,Shannon entropy average,2.528652191,Sum of Pairs Average,0.1588429317,2,0.5,4,0.012195122
0.75600626,JS divergence average,0.669108302,Shannon entropy average,3.490360954,Sum of Pairs Average,0.2048108408,20,0.05,4,0.0062111801
0.674237139,JS divergence average,0.513562413,Shannon entropy average,1.728807514,Sum of Pairs Average,0.4125472723,9,0.1111111111,4,0.007751938
0.6424873363,JS divergence average,0.4447558602,Shannon entropy average,1.7604603996,Sum of Pairs Average,0.270922324,3,0,4,0
0.7218904941,JS divergence average,0.4709190613,Shannon entropy average,2.1976229447,Sum of Pairs Average,0.0849140167,5,0.8,6,0.0444
0.756870388,JS divergence average,0.712409241,Shannon entropy average,3.463439935,Sum of Pairs Average,0.2264085889,6,0.1666666667,5,0.0035587189
0.708712292,JS divergence average,0.645505919,Shannon entropy average,2.910656524,Sum of Pairs Average,0.039989531,9,0.2222,6,0.04
0.751740273,JS divergence average,0.592751458,Shannon entropy average,2.880511707,Sum of Pairs Average,0.072928302,17,0.2941,4,0.0725
0.751740273,JS divergence average,0.592751458,Shannon entropy average,2.880511707,Sum of Pairs Average,0.3531836393,14,0.4286,6,0.0178
0.609037242,JS divergence average,0.378809136,Shannon entropy average,1.109950195,Sum of Pairs Average,0.0244951887,2,0.5,6,0.0037878788
0.598409876,JS divergence average,0.403813127,Shannon entropy average,1.332510521,Sum of Pairs Average,0.268879217,14,0.3571,5,0.0153
0.681297109,JS divergence average,0.481340451,Shannon entropy average,2.42525321,Sum of Pairs Average,0.052967814,12,0.5833,4,0.0304
0.647844328,JS divergence average,0.415307869,Shannon entropy average,1.607787803,Sum of Pairs Average,0.0327240503,16,0.375,3,0.0125
0.735438852,JS divergence average,0.488661639,Shannon entropy average,2.027164754,Sum of Pairs Average,0.0216967387,3,0.6667,3,0.0133
0.663685308,JS divergence average,0.453725067,Shannon entropy average,1.260758391,Sum of Pairs Average,0.0550761654,13,0.5384615385,5,0.0673076923
0.575482019,JS divergence average,0.385860344,Shannon entropy average,1.486181565,Sum of Pairs Average,0.214853269,21,0.6667,3,0.0375
0.7601975306,JS divergence average,0.6308713367,Shannon entropy average,2.7491935918,Sum of Pairs Average,0.1130152937,6,0.5,5,0.024
